row_type,model,fold,seed,Macro_F1,Dstable,Rtrans,TSR,change_point_AP,embedding_variance,effective_rank,collapse_flag,n_stable_pairs,n_transition_pairs,paired_effect_metric,paired_effect,value_status,note,Macro_F1_SD,Dstable_SD,Rtrans_SD,TSR_SD,change_point_AP_SD,paired_CI_low,paired_CI_high
run,C11,0,17,0.8837355182315311,0.0004495382308959,0.0006512403488159,1.4486873508353222,0.4772673626772573,0.0160036459565162,3.1634642702373976,False,55230,31176,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11_no_cont,0,17,0.9454488298573178,0.003870666027069,0.0054687559604644,1.412872079951955,0.4851437183143295,0.6512471437454224,3.2255530430817885,False,55230,31176,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11,0,42,0.935754466546858,0.0001567602157592,0.000221848487854,1.4152091254752852,0.4882939893045908,0.009222637861967,2.891554538517445,False,55230,31176,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11_no_cont,0,42,0.9319032267145968,0.0030522346496582,0.0044727325439453,1.4653960318700203,0.4885237985654319,0.3640545308589935,3.414277947820326,False,55230,31176,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11,0,73,0.942832887261256,0.0001811981201171,0.0002724230289459,1.503453947368421,0.4854990266250976,0.008241712115705,3.023542664335369,False,55230,31176,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11_no_cont,0,73,0.949384057720906,0.0040282607078552,0.0058988630771636,1.464369737951852,0.4841939682670894,0.6281856894493103,3.5109085946781105,False,55230,31176,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11,1,17,0.9462321472731032,9.238719940185548e-05,0.000159740447998,1.729032258064516,0.4209203003703851,0.0073595251888036,2.631986893858982,False,79104,25727,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11_no_cont,1,17,0.9441798036483476,0.0024714469909667,0.0045270323753356,1.831733551996913,0.4070995327922309,0.2514925301074981,3.377053863687587,False,79104,25727,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11,1,42,0.9612418506175914,5.447864532470703e-05,9.489059448242188e-05,1.7417943107221006,0.4206169730135119,0.0068966597318649,2.4473241559300782,False,79104,25727,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11_no_cont,1,42,0.9657320579015848,0.003836303949356,0.0069258213043212,1.805336958632744,0.4129055726098906,0.3622966706752777,3.705236447397015,False,79104,25727,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11,1,73,0.9368833110373443,8.654594421386719e-05,0.0001605749130249,1.8553719008264464,0.4252376077774545,0.006516327150166,2.4781625911864005,False,79104,25727,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11_no_cont,1,73,0.9727269550864994,0.0024276077747344,0.0040020942687988,1.6485753219490038,0.4076380398907843,0.3970947265625,3.1685516424531963,False,79104,25727,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11,2,17,0.944454730377946,6.699562072753906e-05,0.0001113414764404,1.6619217081850537,0.4174289562095467,0.0081546213477849,2.6352511169552497,False,89298,31070,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11_no_cont,2,17,0.8697981899227764,0.0030933618545532,0.0055339932441711,1.788989941808933,0.4078095988649873,0.1475154459476471,3.757706711982946,False,89298,31070,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11,2,42,0.952238218313553,4.553794860839844e-05,8.106231689453125e-05,1.780104712041885,0.4252621134863494,0.008163409307599,2.402570536118834,False,89298,31070,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11_no_cont,2,42,0.9662545406901524,0.0019699335098266,0.0036143362522125,1.834750378214826,0.4243398771692286,0.4341978430747986,3.346231690678018,False,89298,31070,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11,2,73,0.8535671680957537,0.0002657771110534,0.0004586279392242,1.725611123570307,0.403365456609851,0.0119870975613594,3.0505174742462766,False,89298,31070,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
run,C11_no_cont,2,73,0.9615968402506496,0.002440869808197,0.0040058493614196,1.6411565041146736,0.4139409318646566,0.4799632430076599,3.315825639771312,False,89298,31070,NA,NA,REAL_MEASURED,,NA,NA,NA,NA,NA,NA,NA
model_summary_real,C11,ALL,ALL,0.9285489219727707,0.00015546878178910746,0.00024574995040891706,1.651242937454371,0.4404324206748938,0.009171737357974,2.747152693487337,False,670896,263919,NA,NA,REAL_MEASURED,Means are across 9 fold×seed runs.,0.03562235900726818,0.0001314103185667793,0.0001915792445794987,0.15682462145177667,0.03319649123452819,NA,NA
model_summary_real,C11_no_cont,ALL,ALL,0.9452249446436478,0.0030211872524684774,0.0049388309319813445,1.6547978340545468,0.43684389314873656,0.4128942026032342,3.4245939535055885,False,670896,263919,NA,NA,REAL_MEASURED,Means are across 9 fold×seed runs.,0.031169474872061086,0.0007502377286310626,0.0010836208559557318,0.17148159330503082,0.03721618208544089,NA,NA
spec_fixed_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macro_F1,0.005,SPEC_FIXED_USER_PROVIDED,Fixed manuscript effect; compare real absolute rows separately. Different values are a declared lineage conflict.,NA,NA,NA,NA,NA,NA,NA
spec_fixed_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TSR,0.1,SPEC_FIXED_USER_PROVIDED,Fixed manuscript effect; compare real absolute rows separately. Different values are a declared lineage conflict.,NA,NA,NA,NA,NA,NA,NA
spec_fixed_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dstable,-0.003714,SPEC_FIXED_USER_PROVIDED,Fixed manuscript effect; compare real absolute rows separately. Different values are a declared lineage conflict.,NA,NA,NA,NA,NA,NA,NA
spec_fixed_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rtrans,0.001318,SPEC_FIXED_USER_PROVIDED,Fixed manuscript effect; compare real absolute rows separately. Different values are a declared lineage conflict.,NA,NA,NA,NA,NA,NA,NA
spec_fixed_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,change_point_AP,0.00359,SPEC_FIXED_USER_PROVIDED,Fixed manuscript effect; compare real absolute rows separately. Different values are a declared lineage conflict.,NA,NA,NA,NA,NA,NA,NA
real_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macro-F1,-0.0166760226708771,REAL_MEASURED,Frozen v1.2 Vehicle_UID cluster-bootstrap effect.,NA,NA,NA,NA,NA,-0.0189621449449768,-0.0143856461197562
real_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,change-point AP,0.0035900674435015,REAL_MEASURED,Frozen v1.2 Vehicle_UID cluster-bootstrap effect.,NA,NA,NA,NA,NA,0.0025799333005097,0.0045780011588243
real_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stable drift,-0.0037144929983884,REAL_MEASURED,Frozen v1.2 Vehicle_UID cluster-bootstrap effect.,NA,NA,NA,NA,NA,-0.0038462315124187,-0.0035739692086891
real_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,transition response,0.0013184776678101,REAL_MEASURED,Frozen v1.2 Vehicle_UID cluster-bootstrap effect.,NA,NA,NA,NA,NA,0.0007120823799798,0.0019158792225035
real_paired_effect,C11_minus_C11_no_cont,ALL,ALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TSR,130.5618982463864,REAL_MEASURED,Frozen v1.2 Vehicle_UID cluster-bootstrap effect.,NA,NA,NA,NA,NA,118.36213999546447,143.53234627314865
